year,month,day,airline,origin_airport,stop_over_airport,destination_airport,origin_departure_delay,stop_over_arival_time,stop_over_arrival_delay,stop_over_departure_time,stop_over_departure_delay,destination_arrival_delay
2015,12,15,AA,SFO,ORD,JFK,-6,1100,-17,1236,-4,-31
2015,12,15,AA,SFO,ORD,JFK,-3,1555,-14,1830,-5,-23
2015,12,15,B6,SFO,FLL,JFK,-2,1827,-13,2038,48,33
2015,12,15,B6,SFO,FLL,JFK,-2,1827,-13,1936,87,73
2015,12,15,AA,SFO,ORD,JFK,-6,1727,-12,1830,-5,-23
2015,12,15,B6,SFO,FLL,JFK,-1,652,-8,828,0,2
2015,12,16,AA,SFO,MIA,JFK,2,1455,-13,1650,-5,-7
2015,12,16,AA,SFO,LAX,JFK,0,1140,2,1423,8,19
2015,12,16,AA,SFO,LAX,JFK,0,1140,2,1311,-4,-19
2015,12,16,AA,SFO,LAX,JFK,-3,1953,-6,2233,3,-27
2015,12,16,AA,SFO,LAX,JFK,-3,1953,-6,2124,-6,-14
2015,12,16,AA,SFO,LAX,JFK,-3,2052,-9,2327,-3,-12
2015,12,16,AA,SFO,LAX,JFK,-3,2052,-9,2233,3,-27
2015,12,16,AA,SFO,LAX,JFK,-4,2147,-14,2327,-3,-12
2015,12,18,B6,SFO,LAS,JFK,-6,936,3,1214,6,-5
2015,12,18,B6,SFO,LAS,JFK,61,1949,53,2136,1,-11
2015,12,19,DL,SFO,DTW,JFK,10,1835,-31,1959,29,30
2015,12,19,DL,SFO,DTW,JFK,3,621,-12,859,24,23
2015,12,28,B6,SFO,BOS,JFK,-5,1628,-1,1842,1,-3
2015,12,28,B6,SFO,BOS,JFK,-10,538,-10,729,6,-1
2015,12,29,AA,SFO,CLT,JFK,-1,802,-3,921,6,2
2015,12,29,AA,SFO,CLT,JFK,-3,1907,-5,2101,51,49
2015,12,29,AA,SFO,CLT,JFK,-3,2109,-1,2221,7,19
2015,12,29,AA,SFO,CLT,JFK,-2,553,-19,803,33,29
2015,12,31,AA,SFO,DFW,JFK,5,1026,-19,1149,-1,-32
2015,12,31,AA,SFO,DFW,JFK,-4,1515,-30,1656,1,-10
2015,12,8,AA,SFO,MIA,JFK,-1,1508,0,1657,2,-10
2015,12,8,AA,SFO,LAX,JFK,-7,804,-28,1036,-4,-13
2015,12,8,AA,SFO,LAX,JFK,14,1140,2,1412,-3,-10
2015,12,8,AA,SFO,LAX,JFK,14,1140,2,1337,22,23
2015,12,8,AA,SFO,LAX,JFK,34,1635,36,1758,73,60
2015,12,8,AA,SFO,LAX,JFK,-3,1954,-5,2221,-9,-20
2015,12,8,AA,SFO,LAX,JFK,-3,1954,-5,2128,-2,9
2015,12,8,AA,SFO,LAX,JFK,-5,2048,-13,2324,-6,-2
2015,12,8,AA,SFO,LAX,JFK,-5,2048,-13,2221,-9,-20
2015,12,8,AA,SFO,LAX,JFK,-8,2145,-16,2324,-6,-2
2015,12,10,AA,SFO,ORD,JFK,-4,1047,-30,1240,0,-10
2015,12,10,AA,SFO,ORD,JFK,-3,1531,-38,1828,-7,-14
2015,12,10,B6,SFO,FLL,JFK,55,1947,67,2110,5,-5
2015,12,10,AA,SFO,ORD,JFK,-1,1655,-44,1828,-7,-14
2015,12,10,B6,SFO,LAS,JFK,45,1940,41,2153,-2,-27
2015,12,11,DL,SFO,ATL,JFK,-1,1311,-20,1442,2,-1
2015,12,11,DL,SFO,ATL,JFK,5,1505,-12,1735,0,-2
2015,12,11,DL,SFO,ATL,JFK,2,1608,-27,1735,0,-2
2015,12,11,AA,SFO,LAX,JFK,62,1249,71,1437,22,7
2015,12,11,DL,SFO,ATL,JFK,1,1924,-19,2043,-2,7
2015,12,11,AA,SFO,LAX,JFK,3,1957,-2,2228,-2,-15
2015,12,11,AA,SFO,LAX,JFK,3,1957,-2,2129,-1,-17
2015,12,11,AA,SFO,LAX,JFK,6,2200,-1,2329,-1,-15
2015,12,11,DL,SFO,ATL,JFK,6,633,11,810,0,5
2015,12,13,B6,SFO,LAS,JFK,-5,841,-29,1140,-5,-17
2015,12,14,DL,SFO,ATL,JFK,0,1318,-13,1542,62,73
2015,12,27,AA,SFO,CLT,JFK,22,1959,47,2228,14,6
2015,12,27,AA,SFO,CLT,JFK,1,2128,18,2228,14,6
2015,12,27,B6,SFO,LGB,JFK,45,2115,37,2330,130,125
2015,12,27,AA,SFO,CLT,JFK,5,640,28,917,2,24
2015,12,29,VX,SFO,LAX,JFK,-3,909,-11,1128,48,16
2015,12,29,AA,SFO,DFW,JFK,-2,1523,-22,1657,2,-24
2015,12,29,VX,SFO,LAX,JFK,2,1237,-8,1345,5,-11
2015,12,29,VX,SFO,LAX,JFK,3,1412,-3,1553,3,-22
2015,12,29,VX,SFO,LAX,JFK,39,1940,35,2149,14,-9
2015,12,29,AS,SFO,SEA,JFK,-6,1959,-15,2133,3,-17
2015,12,29,VX,SFO,LAX,JFK,-1,1940,-10,2149,14,-9
2015,12,29,VX,SFO,LAX,JFK,-3,2054,4,2341,31,7
2015,12,29,VX,SFO,LAX,JFK,11,2232,22,2341,31,7
2015,12,16,DL,SFO,LAX,JFK,0,940,5,1150,20,11
2015,12,16,DL,SFO,LAX,JFK,9,1107,37,1405,0,-18
2015,12,16,DL,SFO,LAX,JFK,-2,1240,15,1405,0,-18
2015,12,16,DL,SFO,LAX,JFK,39,1349,29,1555,-5,-36
2015,12,16,DL,SFO,LAX,JFK,5,2023,-7,2254,-1,-28
2015,12,16,DL,SFO,LAX,JFK,5,2023,-7,2129,-1,-26
2015,12,17,B6,SFO,BOS,JFK,16,541,1,742,-5,-8
2015,12,18,AA,SFO,ORD,JFK,0,1113,-4,1236,-4,-7
2015,12,18,AA,SFO,ORD,JFK,16,1612,3,1829,-6,49
2015,12,19,AA,SFO,PHX,JFK,0,851,-7,1033,33,1
2015,12,19,AA,SFO,PHX,JFK,-2,1206,-4,1332,2,-14
2015,12,19,AA,SFO,PHX,JFK,-4,1503,0,1637,-3,-26
2015,12,19,AA,SFO,PHX,JFK,-3,1954,-9,2230,0,-20
2015,12,21,B6,SFO,LAS,JFK,-1,938,5,1207,-1,-9
2015,12,21,B6,SFO,FLL,JFK,306,1123,300,1409,42,36
2015,12,27,AA,SFO,LAX,JFK,0,745,-16,1035,-5,0
2015,12,27,AA,SFO,LAX,JFK,0,745,-16,910,10,0
2015,12,27,AA,SFO,MIA,JFK,45,1517,19,1724,30,37
2015,12,27,AA,SFO,MIA,JFK,9,2046,4,2226,117,100
2015,12,27,VX,SFO,LAS,JFK,121,2202,117,2309,59,75
2015,12,27,AA,SFO,LAX,JFK,-4,2001,-13,2237,7,-4
2015,12,27,AA,SFO,LAX,JFK,-4,2001,-13,2127,-3,-11
2015,12,27,AA,SFO,MIA,JFK,40,612,24,854,-1,-18
2015,12,29,B6,SFO,LAS,JFK,2,923,-10,1214,6,-8
2015,12,29,B6,SFO,LAS,JFK,10,1857,1,2141,6,-15
2015,12,30,DL,SFO,ATL,JFK,14,1353,5,1543,58,41
2015,12,30,DL,SFO,ATL,JFK,3,1916,-32,2112,27,8
2015,12,30,DL,SFO,ATL,JFK,3,1916,-32,2032,172,148
2015,12,30,DL,SFO,ATL,JFK,5,611,-11,839,14,-3
2015,12,7,B6,SFO,BOS,JFK,26,612,32,746,-1,-5
2015,12,8,AA,SFO,CLT,JFK,-9,744,-21,912,-3,-16
2015,12,8,AA,SFO,CLT,JFK,-10,1906,-6,2010,0,1
2015,12,8,AA,SFO,CLT,JFK,-5,603,-9,726,-4,-16
2015,12,11,AA,SFO,CLT,JFK,13,746,-19,916,1,-2
2015,12,11,AA,SFO,CLT,JFK,-9,1850,-22,2009,-1,15
2015,12,11,AA,SFO,CLT,JFK,-3,2109,-1,2212,-2,1
2015,12,13,AA,SFO,DFW,JFK,-5,1025,-20,1155,5,-1
2015,12,13,VX,SFO,LAX,JFK,-3,921,1,1209,89,62
2015,12,13,VX,SFO,LAX,JFK,54,1335,50,1557,7,11
2015,12,13,VX,SFO,LAX,JFK,54,1335,50,1444,64,42
2015,12,13,AS,SFO,SEA,JFK,11,1849,9,2127,-3,-18
2015,12,13,VX,SFO,LAX,JFK,109,2113,138,2331,21,15
2015,12,13,AS,SFO,SEA,JFK,-12,2012,-2,2127,-3,-18
2015,12,13,VX,SFO,LAX,JFK,13,2052,47,2331,21,15
2015,12,13,VX,SFO,LAX,JFK,29,2139,49,2331,21,15
2015,12,13,B6,SFO,BOS,JFK,-6,1620,-10,1844,3,3
2015,12,28,DL,SFO,LAX,JFK,-1,717,-13,846,6,-31
2015,12,28,DL,SFO,LAX,JFK,-2,922,-13,1129,-1,-11
2015,12,28,DL,SFO,LAX,JFK,-4,1129,9,1405,-5,16
2015,12,28,DL,SFO,LAX,JFK,-4,1129,9,1259,-1,-33
2015,12,28,DL,SFO,LAX,JFK,13,1348,28,1625,0,-12
2015,12,28,DL,SFO,LAX,JFK,28,1942,12,2129,-1,-26
2015,12,1,DL,SFO,LAX,JFK,-3,938,6,1139,9,-15
2015,12,1,DL,SFO,LAX,JFK,13,1226,1,1412,7,-23
2015,12,1,DL,SFO,LAX,JFK,-3,1309,-11,1557,-3,-6
2015,12,1,DL,SFO,LAX,JFK,-3,1309,-11,1412,7,-23
2015,12,1,DL,SFO,LAX,JFK,-4,2011,-19,2253,-2,-15
2015,12,1,DL,SFO,LAX,JFK,-4,2011,-19,2131,1,-26
2015,12,1,DL,SFO,LAX,JFK,-1,2128,1,2253,-2,-15
2015,12,7,B6,SFO,BOS,JFK,5,1648,18,1946,-6,-13
2015,12,7,B6,SFO,BOS,JFK,5,1648,18,1843,2,1
2015,12,10,B6,SFO,BOS,JFK,-6,1604,-26,1842,1,-17
2015,12,10,B6,SFO,BOS,JFK,29,600,20,744,-3,-2
2015,12,8,VX,SFO,LAX,JFK,3,816,-4,1054,14,15
2015,12,8,VX,SFO,LAX,JFK,-4,910,-10,1054,14,15
2015,12,8,VX,SFO,LAX,JFK,-7,1235,-10,1336,-4,5
2015,12,8,VX,SFO,LAX,JFK,-8,1355,-20,1547,-3,20
2015,12,8,AS,SFO,SEA,JFK,30,2052,38,2157,27,-6
2015,12,8,VX,SFO,LAX,JFK,0,2018,13,2309,-1,0
2015,12,8,VX,SFO,LAX,JFK,-5,2041,-9,2309,-1,0
2015,12,11,AA,SFO,MIA,JFK,0,1452,-16,1649,-6,15
2015,12,11,VX,SFO,LAS,JFK,2,2035,25,2206,-4,-35
